Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run3
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=8.19s] Completed batch 0 (duration: 5.10s, status: 200)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.30s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.28s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=69.57s] Completed batch 1 (duration: 56.00s, status: 200)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=80.90s] Completed batch 6 (duration: 9.32s, status: 200)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=85.72s] Completed batch 2 (duration: 51.42s, status: 200)
[t=107.15s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=108.03s] Completed batch 8 (duration: 22.74s, status: 200)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.14s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=134.51s] Completed batch 12 (duration: 17.80s, status: 200)
[t=148.26s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=148.66s] Completed batch 9 (duration: 41.51s, status: 200)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=159.89s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=161.87s] Completed batch 16 (duration: 1.56s, status: 200)
[t=169.97s] Completed batch 10 (duration: 58.84s, status: 200)
[t=175.64s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=177.64s] Completed batch 15 (duration: 17.75s, status: 200)
[t=179.79s] Completed batch 14 (duration: 28.48s, status: 200)
[t=183.83s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=189.03s] Completed batch 7 (duration: 108.98s, status: 200)
[t=193.09s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=197.16s] Completed batch 3 (duration: 151.15s, status: 200)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=206.98s] Completed batch 19 (duration: 13.89s, status: 200)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=212.19s] Completed batch 4 (duration: 158.27s, status: 200)
[t=215.57s] Completed batch 18 (duration: 31.74s, status: 200)
[t=235.59s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=242.51s] Completed batch 22 (duration: 6.93s, status: 200)
[t=243.80s] Completed batch 5 (duration: 175.52s, status: 200)
[t=251.32s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=251.40s] Completed batch 20 (duration: 47.28s, status: 200)
[t=261.68s] Sending batch 24 (scheduled: 261.67s, size: 2)
[t=270.37s] Completed batch 11 (duration: 154.23s, status: 200)
[t=271.10s] Sending batch 25 (scheduled: 271.10s, size: 2)
[t=280.14s] Completed batch 25 (duration: 9.05s, status: 200)
[t=286.37s] Sending batch 26 (scheduled: 286.36s, size: 6)
[t=292.89s] Sending batch 27 (scheduled: 292.88s, size: 5)
[t=298.20s] Completed batch 21 (duration: 88.00s, status: 200)
[t=298.41s] Completed batch 24 (duration: 36.74s, status: 200)
[t=315.16s] Sending batch 28 (scheduled: 315.15s, size: 2)
[t=320.04s] Completed batch 17 (duration: 144.40s, status: 200)
[t=333.38s] Completed batch 26 (duration: 47.01s, status: 200)
[t=350.45s] Completed batch 28 (duration: 35.29s, status: 200)
[t=351.36s] Sending batch 29 (scheduled: 351.36s, size: 1)
[t=351.91s] Sending batch 30 (scheduled: 351.91s, size: 7)
[t=354.37s] Completed batch 13 (duration: 206.11s, status: 200)
[t=356.89s] Sending batch 31 (scheduled: 356.89s, size: 6)
[t=359.02s] Completed batch 23 (duration: 107.71s, status: 200)
[t=400.48s] Completed batch 31 (duration: 43.58s, status: 200)
[t=408.73s] Completed batch 30 (duration: 56.82s, status: 200)
[t=410.34s] Sending batch 32 (scheduled: 410.34s, size: 3)
[t=411.23s] Sending batch 33 (scheduled: 411.23s, size: 4)
[t=416.58s] Completed batch 27 (duration: 123.69s, status: 200)
[t=417.23s] Sending batch 34 (scheduled: 417.23s, size: 5)
[t=424.56s] Sending batch 35 (scheduled: 424.55s, size: 1)
[t=430.89s] Completed batch 35 (duration: 6.33s, status: 200)
[t=436.90s] Sending batch 36 (scheduled: 436.89s, size: 3)
[t=457.67s] Completed batch 34 (duration: 40.44s, status: 200)
[t=460.26s] Sending batch 37 (scheduled: 460.26s, size: 4)
[t=465.14s] Sending batch 38 (scheduled: 465.14s, size: 4)
[t=467.30s] Sending batch 39 (scheduled: 467.30s, size: 5)
[t=472.13s] Completed batch 33 (duration: 60.90s, status: 200)
[t=488.08s] Sending batch 40 (scheduled: 488.06s, size: 3)
[t=503.53s] Sending batch 41 (scheduled: 503.53s, size: 2)
[t=512.34s] Completed batch 36 (duration: 75.44s, status: 200)
[t=520.31s] Completed batch 38 (duration: 55.17s, status: 200)
[t=530.89s] Completed batch 40 (duration: 42.81s, status: 200)
[t=540.07s] Sending batch 42 (scheduled: 540.06s, size: 4)
[t=547.82s] Completed batch 29 (duration: 196.46s, status: 200)
[t=556.07s] Completed batch 42 (duration: 16.00s, status: 200)
[t=565.68s] Sending batch 43 (scheduled: 565.68s, size: 3)
[t=568.54s] Completed batch 37 (duration: 108.28s, status: 200)
[t=590.94s] Completed batch 39 (duration: 123.64s, status: 200)
[t=591.00s] Sending batch 44 (scheduled: 591.00s, size: 8)
[t=599.82s] Sending batch 45 (scheduled: 599.82s, size: 3)
[t=606.01s] Completed batch 43 (duration: 40.33s, status: 200)
[t=624.19s] Sending batch 46 (scheduled: 624.19s, size: 2)
[t=624.23s] Sending batch 47 (scheduled: 624.22s, size: 2)
[t=651.56s] Sending batch 48 (scheduled: 651.54s, size: 1)
[t=653.82s] Sending batch 49 (scheduled: 653.82s, size: 1)
[t=657.14s] Completed batch 41 (duration: 153.61s, status: 200)
[t=670.67s] Sending batch 50 (scheduled: 670.66s, size: 3)
[t=672.37s] Completed batch 49 (duration: 18.55s, status: 200)
[t=676.88s] Completed batch 46 (duration: 52.69s, status: 200)
[t=678.03s] Sending batch 51 (scheduled: 678.03s, size: 4)
[t=684.97s] Sending batch 52 (scheduled: 684.97s, size: 2)
[t=687.25s] Completed batch 48 (duration: 35.69s, status: 200)
[t=689.52s] Completed batch 32 (duration: 279.17s, status: 200)
[t=695.66s] Completed batch 47 (duration: 71.44s, status: 200)
[t=699.71s] Sending batch 53 (scheduled: 699.70s, size: 2)
[t=724.05s] Completed batch 52 (duration: 39.08s, status: 200)
[t=724.14s] Sending batch 54 (scheduled: 724.14s, size: 5)
[t=730.82s] Sending batch 55 (scheduled: 730.81s, size: 2)
[t=740.95s] Sending batch 56 (scheduled: 740.95s, size: 3)
[t=749.25s] Completed batch 45 (duration: 149.42s, status: 200)
[t=749.70s] Completed batch 51 (duration: 71.67s, status: 200)
[t=750.18s] Sending batch 57 (scheduled: 750.18s, size: 4)
[t=754.01s] Sending batch 58 (scheduled: 754.01s, size: 1)
[t=757.17s] Sending batch 59 (scheduled: 757.17s, size: 4)
[t=762.90s] Sending batch 60 (scheduled: 762.89s, size: 2)
[t=774.36s] Sending batch 61 (scheduled: 774.35s, size: 5)
[t=782.16s] Completed batch 56 (duration: 41.20s, status: 200)
[t=782.16s] Completed batch 55 (duration: 51.34s, status: 200)
[t=791.43s] Sending batch 62 (scheduled: 791.42s, size: 2)
[t=793.48s] Sending batch 63 (scheduled: 793.48s, size: 3)
[t=803.36s] Sending batch 64 (scheduled: 803.36s, size: 3)
