Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run4
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.58s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=29.37s] Completed batch 0 (duration: 26.27s, status: 200)
[t=34.30s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.00s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=54.79s] Completed batch 2 (duration: 20.49s, status: 200)
[t=64.41s] Completed batch 1 (duration: 50.83s, status: 200)
[t=68.27s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=77.70s] Completed batch 3 (duration: 31.70s, status: 200)
[t=80.04s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.09s] Completed batch 6 (duration: 13.51s, status: 200)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=105.93s] Completed batch 7 (duration: 25.89s, status: 200)
[t=107.15s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.14s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=119.56s] Completed batch 12 (duration: 2.85s, status: 200)
[t=122.03s] Completed batch 10 (duration: 10.91s, status: 200)
[t=131.91s] Completed batch 8 (duration: 46.62s, status: 200)
[t=134.93s] Completed batch 11 (duration: 18.80s, status: 200)
[t=146.02s] Completed batch 4 (duration: 92.10s, status: 200)
[t=148.25s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=149.64s] Completed batch 9 (duration: 42.50s, status: 200)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=159.89s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=162.90s] Completed batch 13 (duration: 14.65s, status: 200)
[t=175.64s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=175.86s] Completed batch 5 (duration: 107.58s, status: 200)
[t=183.84s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=188.26s] Completed batch 16 (duration: 27.94s, status: 200)
[t=193.09s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=199.68s] Completed batch 18 (duration: 15.84s, status: 200)
[t=203.05s] Completed batch 14 (duration: 51.74s, status: 200)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=207.20s] Completed batch 15 (duration: 47.31s, status: 200)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=210.37s] Completed batch 17 (duration: 34.73s, status: 200)
[t=229.46s] Completed batch 19 (duration: 36.37s, status: 200)
[t=233.46s] Completed batch 21 (duration: 23.26s, status: 200)
[t=235.58s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=236.92s] Completed batch 20 (duration: 32.79s, status: 200)
[t=241.89s] Completed batch 22 (duration: 6.30s, status: 200)
