Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run7
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.31s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.28s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=96.64s] Completed batch 6 (duration: 25.06s, status: 200)
[t=107.15s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=109.63s] Completed batch 2 (duration: 75.31s, status: 200)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.14s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=118.06s] Completed batch 12 (duration: 1.35s, status: 200)
[t=121.77s] Completed batch 1 (duration: 108.20s, status: 200)
[t=123.34s] Completed batch 0 (duration: 120.25s, status: 200)
[t=148.26s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=155.28s] Completed batch 4 (duration: 101.36s, status: 200)
[t=159.89s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=162.32s] Completed batch 7 (duration: 82.27s, status: 200)
[t=165.76s] Completed batch 9 (duration: 58.60s, status: 200)
[t=170.00s] Completed batch 3 (duration: 123.99s, status: 200)
[t=175.64s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=183.84s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=188.08s] Completed batch 14 (duration: 36.77s, status: 200)
[t=193.09s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=199.32s] Completed batch 16 (duration: 39.01s, status: 200)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=205.75s] Completed batch 8 (duration: 120.45s, status: 200)
[t=207.18s] Completed batch 15 (duration: 47.29s, status: 200)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=226.89s] Completed batch 19 (duration: 33.79s, status: 200)
[t=227.68s] Completed batch 11 (duration: 111.54s, status: 200)
[t=235.59s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=249.21s] Completed batch 22 (duration: 13.62s, status: 200)
[t=251.31s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=261.37s] Completed batch 5 (duration: 193.09s, status: 200)
