Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run2
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.32s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.29s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=69.88s] Completed batch 0 (duration: 66.79s, status: 200)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=73.25s] Completed batch 6 (duration: 1.67s, status: 200)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=107.17s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=107.48s] Completed batch 8 (duration: 22.19s, status: 200)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.14s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=136.38s] Completed batch 12 (duration: 19.67s, status: 200)
[t=140.86s] Completed batch 10 (duration: 29.74s, status: 200)
[t=148.25s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=149.97s] Completed batch 9 (duration: 42.80s, status: 200)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=158.03s] Completed batch 1 (duration: 144.45s, status: 200)
[t=159.88s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=161.81s] Completed batch 15 (duration: 1.93s, status: 200)
[t=162.27s] Completed batch 16 (duration: 1.96s, status: 200)
[t=175.32s] Completed batch 4 (duration: 121.40s, status: 200)
[t=175.63s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=180.71s] Completed batch 14 (duration: 29.41s, status: 200)
[t=183.83s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=193.10s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=197.12s] Completed batch 3 (duration: 151.11s, status: 200)
[t=199.47s] Completed batch 18 (duration: 15.64s, status: 200)
[t=202.19s] Completed batch 7 (duration: 122.14s, status: 200)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=207.93s] Completed batch 2 (duration: 173.62s, status: 200)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=213.15s] Completed batch 17 (duration: 37.51s, status: 200)
[t=216.44s] Completed batch 19 (duration: 23.34s, status: 200)
