Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run13
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.31s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.28s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=106.65s] Completed batch 6 (duration: 35.07s, status: 200)
[t=107.14s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.14s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=117.62s] Completed batch 12 (duration: 0.92s, status: 200)
[t=124.36s] Completed batch 2 (duration: 90.05s, status: 200)
[t=135.36s] Completed batch 4 (duration: 81.44s, status: 200)
[t=148.26s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=152.97s] Completed batch 1 (duration: 139.40s, status: 200)
[t=155.59s] Completed batch 7 (duration: 75.55s, status: 200)
[t=159.89s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=169.04s] Completed batch 3 (duration: 123.03s, status: 200)
[t=169.05s] Completed batch 9 (duration: 61.90s, status: 200)
[t=171.88s] Completed batch 14 (duration: 20.57s, status: 200)
[t=175.64s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=179.84s] Completed batch 8 (duration: 94.55s, status: 200)
[t=183.83s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=193.10s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=202.09s] Completed batch 15 (duration: 42.21s, status: 200)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=221.38s] Completed batch 16 (duration: 61.06s, status: 200)
[t=222.66s] Completed batch 11 (duration: 106.53s, status: 200)
[t=226.48s] Completed batch 5 (duration: 158.19s, status: 200)
[t=235.58s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=251.31s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=252.64s] Completed batch 22 (duration: 17.06s, status: 200)
[t=259.20s] Completed batch 21 (duration: 48.99s, status: 200)
[t=261.67s] Sending batch 24 (scheduled: 261.67s, size: 2)
