Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run8
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.32s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=66.55s] Completed batch 0 (duration: 63.46s, status: 200)
[t=68.27s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=107.17s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.14s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=118.42s] Completed batch 12 (duration: 1.71s, status: 200)
[t=118.63s] Completed batch 6 (duration: 47.05s, status: 200)
[t=148.26s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=149.12s] Completed batch 2 (duration: 114.80s, status: 200)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=159.89s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=163.97s] Completed batch 4 (duration: 110.05s, status: 200)
[t=175.64s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=183.83s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=193.10s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=204.14s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=208.03s] Completed batch 7 (duration: 127.98s, status: 200)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=211.78s] Completed batch 14 (duration: 60.48s, status: 200)
[t=213.22s] Completed batch 9 (duration: 106.06s, status: 200)
[t=216.19s] Completed batch 16 (duration: 55.88s, status: 200)
[t=216.21s] Completed batch 15 (duration: 56.33s, status: 200)
[t=226.25s] Completed batch 1 (duration: 212.67s, status: 200)
[t=232.62s] Completed batch 3 (duration: 186.61s, status: 200)
[t=235.58s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=251.32s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=254.03s] Completed batch 19 (duration: 60.94s, status: 200)
[t=259.92s] Completed batch 8 (duration: 174.63s, status: 200)
[t=261.67s] Sending batch 24 (scheduled: 261.67s, size: 2)
