Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run9
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=30.28s] Completed batch 0 (duration: 27.19s, status: 200)
[t=34.30s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.00s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.28s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=91.23s] Completed batch 6 (duration: 19.65s, status: 200)
[t=91.44s] Completed batch 1 (duration: 77.86s, status: 200)
[t=102.36s] Completed batch 2 (duration: 68.06s, status: 200)
[t=107.15s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.13s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=118.55s] Completed batch 4 (duration: 64.62s, status: 200)
[t=148.26s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=153.31s] Completed batch 7 (duration: 73.26s, status: 200)
[t=159.42s] Completed batch 3 (duration: 113.42s, status: 200)
[t=159.88s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=161.77s] Completed batch 9 (duration: 54.62s, status: 200)
[t=175.64s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=182.49s] Completed batch 16 (duration: 22.18s, status: 200)
[t=183.72s] Completed batch 12 (duration: 67.01s, status: 200)
[t=183.83s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=185.18s] Completed batch 14 (duration: 33.87s, status: 200)
[t=185.97s] Completed batch 8 (duration: 100.68s, status: 200)
[t=191.19s] Completed batch 15 (duration: 31.31s, status: 200)
[t=193.09s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=215.19s] Completed batch 11 (duration: 99.05s, status: 200)
[t=226.61s] Completed batch 5 (duration: 158.32s, status: 200)
[t=235.58s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=251.31s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=252.36s] Completed batch 22 (duration: 16.78s, status: 200)
[t=255.93s] Completed batch 19 (duration: 62.83s, status: 200)
[t=261.03s] Completed batch 17 (duration: 85.39s, status: 200)
[t=261.67s] Sending batch 24 (scheduled: 261.67s, size: 2)
[t=263.73s] Completed batch 21 (duration: 53.53s, status: 200)
[t=269.42s] Completed batch 10 (duration: 158.29s, status: 200)
[t=271.10s] Sending batch 25 (scheduled: 271.10s, size: 2)
[t=286.36s] Sending batch 26 (scheduled: 286.36s, size: 6)
[t=291.64s] Completed batch 25 (duration: 20.54s, status: 200)
[t=292.88s] Sending batch 27 (scheduled: 292.88s, size: 5)
[t=315.17s] Sending batch 28 (scheduled: 315.15s, size: 2)
[t=328.21s] Completed batch 20 (duration: 124.08s, status: 200)
[t=341.76s] Completed batch 24 (duration: 80.09s, status: 200)
[t=351.37s] Sending batch 29 (scheduled: 351.36s, size: 1)
[t=351.91s] Sending batch 30 (scheduled: 351.91s, size: 7)
[t=355.11s] Completed batch 13 (duration: 206.86s, status: 200)
[t=356.89s] Sending batch 31 (scheduled: 356.89s, size: 6)
[t=357.75s] Completed batch 18 (duration: 173.92s, status: 200)
[t=357.89s] Completed batch 27 (duration: 65.01s, status: 200)
[t=388.08s] Completed batch 23 (duration: 136.77s, status: 200)
[t=394.86s] Completed batch 28 (duration: 79.69s, status: 200)
[t=410.35s] Sending batch 32 (scheduled: 410.34s, size: 3)
[t=411.23s] Sending batch 33 (scheduled: 411.23s, size: 4)
[t=417.24s] Sending batch 34 (scheduled: 417.23s, size: 5)
[t=420.95s] Completed batch 30 (duration: 69.04s, status: 200)
[t=424.56s] Sending batch 35 (scheduled: 424.55s, size: 1)
[t=436.90s] Sending batch 36 (scheduled: 436.89s, size: 3)
[t=440.07s] Completed batch 35 (duration: 15.52s, status: 200)
[t=460.27s] Sending batch 37 (scheduled: 460.26s, size: 4)
[t=465.14s] Sending batch 38 (scheduled: 465.14s, size: 4)
[t=467.30s] Sending batch 39 (scheduled: 467.30s, size: 5)
[t=468.76s] Completed batch 34 (duration: 51.52s, status: 200)
[t=470.54s] Completed batch 26 (duration: 184.17s, status: 200)
[t=476.81s] Completed batch 31 (duration: 119.91s, status: 200)
[t=488.07s] Sending batch 40 (scheduled: 488.06s, size: 3)
[t=499.14s] Completed batch 36 (duration: 62.24s, status: 200)
[t=503.53s] Sending batch 41 (scheduled: 503.53s, size: 2)
[t=505.36s] Completed batch 29 (duration: 153.99s, status: 200)
[t=529.61s] Completed batch 39 (duration: 62.31s, status: 200)
[t=540.07s] Sending batch 42 (scheduled: 540.06s, size: 4)
[t=557.96s] Completed batch 37 (duration: 97.69s, status: 200)
[t=563.73s] Completed batch 38 (duration: 98.59s, status: 200)
[t=564.88s] Completed batch 41 (duration: 61.35s, status: 200)
[t=565.68s] Sending batch 43 (scheduled: 565.68s, size: 3)
[t=567.01s] Completed batch 40 (duration: 78.94s, status: 200)
[t=591.00s] Sending batch 44 (scheduled: 591.00s, size: 8)
[t=599.83s] Sending batch 45 (scheduled: 599.82s, size: 3)
[t=611.42s] Completed batch 43 (duration: 45.74s, status: 200)
[t=612.58s] Completed batch 42 (duration: 72.51s, status: 200)
[t=619.29s] Completed batch 33 (duration: 208.06s, status: 200)
[t=624.19s] Sending batch 46 (scheduled: 624.19s, size: 2)
[t=624.23s] Sending batch 47 (scheduled: 624.22s, size: 2)
[t=639.25s] Completed batch 46 (duration: 15.06s, status: 200)
[t=650.64s] Completed batch 32 (duration: 240.29s, status: 200)
[t=651.54s] Sending batch 48 (scheduled: 651.54s, size: 1)
[t=653.82s] Sending batch 49 (scheduled: 653.82s, size: 1)
[t=666.58s] Completed batch 45 (duration: 66.75s, status: 200)
[t=667.26s] Completed batch 44 (duration: 76.26s, status: 200)
[t=670.67s] Sending batch 50 (scheduled: 670.66s, size: 3)
[t=672.61s] Completed batch 49 (duration: 18.79s, status: 200)
[t=678.04s] Sending batch 51 (scheduled: 678.03s, size: 4)
[t=684.97s] Sending batch 52 (scheduled: 684.97s, size: 2)
[t=687.10s] Completed batch 47 (duration: 62.87s, status: 200)
[t=699.70s] Sending batch 53 (scheduled: 699.70s, size: 2)
[t=724.15s] Sending batch 54 (scheduled: 724.14s, size: 5)
[t=730.82s] Sending batch 55 (scheduled: 730.81s, size: 2)
[t=740.96s] Sending batch 56 (scheduled: 740.95s, size: 3)
[t=750.19s] Sending batch 57 (scheduled: 750.18s, size: 4)
[t=754.01s] Sending batch 58 (scheduled: 754.01s, size: 1)
[t=757.18s] Sending batch 59 (scheduled: 757.17s, size: 4)
[t=762.90s] Sending batch 60 (scheduled: 762.89s, size: 2)
[t=774.36s] Sending batch 61 (scheduled: 774.35s, size: 5)
[t=791.43s] Sending batch 62 (scheduled: 791.42s, size: 2)
[t=793.48s] Sending batch 63 (scheduled: 793.48s, size: 3)
[t=803.36s] Sending batch 64 (scheduled: 803.36s, size: 3)
[t=804.22s] Completed batch 51 (duration: 126.19s, status: 200)
[t=807.61s] Completed batch 60 (duration: 44.71s, status: 200)
[t=809.70s] Sending batch 65 (scheduled: 809.69s, size: 3)
[t=817.23s] Completed batch 57 (duration: 67.04s, status: 200)
[t=821.55s] Sending batch 66 (scheduled: 821.55s, size: 2)
[t=824.13s] Completed batch 63 (duration: 30.64s, status: 200)
[t=824.74s] Completed batch 59 (duration: 67.57s, status: 200)
[t=826.89s] Completed batch 52 (duration: 141.92s, status: 200)
[t=835.66s] Sending batch 67 (scheduled: 835.66s, size: 1)
[t=841.64s] Sending batch 68 (scheduled: 841.63s, size: 4)
[t=846.61s] Sending batch 69 (scheduled: 846.60s, size: 4)
[t=849.18s] Sending batch 70 (scheduled: 849.18s, size: 1)
[t=850.08s] Completed batch 67 (duration: 14.42s, status: 200)
[t=853.27s] Sending batch 71 (scheduled: 853.26s, size: 6)
[t=860.74s] Completed batch 64 (duration: 57.38s, status: 200)
[t=866.04s] Completed batch 62 (duration: 74.61s, status: 200)
[t=867.88s] Sending batch 72 (scheduled: 867.87s, size: 1)
[t=867.97s] Sending batch 73 (scheduled: 867.97s, size: 5)
[t=870.15s] Sending batch 74 (scheduled: 870.14s, size: 2)
[t=874.16s] Completed batch 58 (duration: 120.15s, status: 200)
[t=886.59s] Sending batch 75 (scheduled: 886.59s, size: 1)
[t=891.60s] Completed batch 74 (duration: 21.45s, status: 200)
[t=892.32s] Completed batch 48 (duration: 240.78s, status: 200)
[t=894.96s] Completed batch 70 (duration: 45.77s, status: 200)
[t=907.30s] Sending batch 76 (scheduled: 907.28s, size: 3)
[t=911.21s] Sending batch 77 (scheduled: 911.21s, size: 5)
[t=914.84s] Completed batch 65 (duration: 105.15s, status: 200)
[t=916.34s] Completed batch 53 (duration: 216.64s, status: 200)
[t=919.26s] Completed batch 69 (duration: 72.65s, status: 200)
[t=931.32s] Completed batch 72 (duration: 63.44s, status: 200)
