Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run5
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.32s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=51.82s] Completed batch 0 (duration: 48.73s, status: 200)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.27s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=107.17s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=114.95s] Completed batch 6 (duration: 43.37s, status: 200)
[t=116.13s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=117.68s] Completed batch 12 (duration: 0.97s, status: 200)
[t=117.68s] Completed batch 2 (duration: 83.37s, status: 200)
[t=137.42s] Completed batch 4 (duration: 83.50s, status: 200)
[t=144.88s] Completed batch 1 (duration: 131.30s, status: 200)
[t=148.25s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=159.89s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=175.65s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=175.92s] Completed batch 7 (duration: 95.87s, status: 200)
[t=181.44s] Completed batch 9 (duration: 74.27s, status: 200)
[t=183.59s] Completed batch 8 (duration: 98.29s, status: 200)
[t=183.83s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=187.55s] Completed batch 3 (duration: 141.54s, status: 200)
[t=193.09s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=197.30s] Completed batch 14 (duration: 45.99s, status: 200)
[t=204.14s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=214.32s] Completed batch 15 (duration: 54.43s, status: 200)
[t=217.15s] Completed batch 16 (duration: 56.83s, status: 200)
[t=235.59s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=249.81s] Completed batch 11 (duration: 133.68s, status: 200)
[t=251.31s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=257.47s] Completed batch 22 (duration: 21.88s, status: 200)
