Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run10
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=4.98s] Completed batch 0 (duration: 1.89s, status: 200)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.31s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=57.97s] Completed batch 1 (duration: 44.39s, status: 200)
[t=66.58s] Completed batch 2 (duration: 32.27s, status: 200)
[t=68.27s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=73.04s] Completed batch 6 (duration: 1.46s, status: 200)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=95.22s] Completed batch 4 (duration: 41.30s, status: 200)
[t=105.09s] Completed batch 8 (duration: 19.80s, status: 200)
[t=106.89s] Completed batch 3 (duration: 60.88s, status: 200)
[t=107.14s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=111.12s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.14s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=125.20s] Completed batch 7 (duration: 45.16s, status: 200)
[t=133.78s] Completed batch 9 (duration: 26.63s, status: 200)
[t=148.25s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=159.88s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=161.67s] Completed batch 15 (duration: 1.79s, status: 200)
[t=161.94s] Completed batch 16 (duration: 1.62s, status: 200)
[t=163.36s] Completed batch 5 (duration: 95.09s, status: 200)
[t=166.01s] Completed batch 14 (duration: 14.70s, status: 200)
[t=173.95s] Completed batch 12 (duration: 57.24s, status: 200)
[t=175.63s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=183.84s] Sending batch 18 (scheduled: 183.83s, size: 2)
