Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: run6
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.32s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.28s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=88.11s] Completed batch 0 (duration: 85.02s, status: 200)
[t=92.96s] Completed batch 6 (duration: 21.38s, status: 200)
[t=107.15s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=108.60s] Completed batch 2 (duration: 74.28s, status: 200)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=116.13s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=122.56s] Completed batch 1 (duration: 108.99s, status: 200)
[t=141.60s] Completed batch 4 (duration: 87.68s, status: 200)
[t=148.25s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=159.88s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=164.32s] Completed batch 7 (duration: 84.27s, status: 200)
[t=172.39s] Completed batch 12 (duration: 55.68s, status: 200)
[t=173.07s] Completed batch 3 (duration: 127.06s, status: 200)
[t=173.51s] Completed batch 9 (duration: 66.36s, status: 200)
[t=175.63s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=183.83s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=185.38s] Completed batch 16 (duration: 25.07s, status: 200)
[t=193.10s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=195.19s] Completed batch 14 (duration: 43.88s, status: 200)
[t=201.42s] Completed batch 15 (duration: 41.54s, status: 200)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=212.95s] Completed batch 8 (duration: 127.66s, status: 200)
[t=235.59s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=235.79s] Completed batch 11 (duration: 119.65s, status: 200)
[t=251.32s] Sending batch 23 (scheduled: 251.31s, size: 2)
[t=253.71s] Completed batch 22 (duration: 18.12s, status: 200)
